,title,url
114,Bupropiona: a nova pílula da felicidade? ,https://brasil.elpais.com/brasil/2014/09/08/ciencia/1410170638_552021.html
115,Tente matar esta charada ,https://brasil.elpais.com/brasil/2014/06/13/ciencia/1402648662_261114.html
116,Quando não nos querem mais ,https://brasil.elpais.com/brasil/2013/05/03/ciencia/1367574676_397716.html
117,“Uma parte do meu cérebro morreu por causa da meningite” ,https://brasil.elpais.com/brasil/2012/10/01/ciencia/1349089428_856839.html
118,Um dos maiores icebergs da história está a ponto de se soltar ,https://brasil.elpais.com/brasil/2017/07/06/ciencia/1499367153_396311.html
119,‘Junk food’ inflama o cérebro e aumenta o apetite ,https://brasil.elpais.com/brasil/2017/07/05/ciencia/1499268556_503850.html
120,Assim será nosso futuro sexual com os robôs ,https://brasil.elpais.com/brasil/2017/07/04/ciencia/1499198579_854901.html
121,“Interessa mais à indústria conter o avanço do câncer que eliminá-lo” ,https://brasil.elpais.com/brasil/2017/07/04/ciencia/1499183349_915192.html
122,Menstruação não afeta a capacidade intelectual das mulheres ,https://brasil.elpais.com/brasil/2017/07/03/ciencia/1499106472_885557.html
123,O crocodilo gigante que tinha a dentição de um tiranossauro rex ,https://brasil.elpais.com/brasil/2017/07/04/ciencia/1499163954_516841.html
124,Elon Musk publica detalhes de seu plano para colonizar Marte. É realista? ,https://brasil.elpais.com/brasil/2017/06/23/ciencia/1498216022_307152.html
125,Ciência se aproxima da criação de mentes sem lembranças ,https://brasil.elpais.com/brasil/2017/06/24/ciencia/1498324388_962431.html
126,Nascida para matar: vespa-do-mar é o ser vivo mais letal que se conhece ,https://brasil.elpais.com/brasil/2017/07/02/ciencia/1499020565_602318.html
127,"Você não é um indivíduo, mas sim uma multidão ",https://brasil.elpais.com/brasil/2017/06/26/ciencia/1498496674_918809.html
128,"54 graus no Irã, a temperatura mais alta jamais registrada? ",https://brasil.elpais.com/brasil/2017/06/30/ciencia/1498813164_129942.html
129,Mudança climática provocará uma explosão de vida na Antártida ,https://brasil.elpais.com/brasil/2017/06/28/ciencia/1498635829_266916.html
130,"Mesmo sem provas, pacientes agora podem responsabilizar vacinas por doenças na UE ",https://brasil.elpais.com/brasil/2017/06/22/ciencia/1498142021_999250.html
131,Os sete planetas mais radicais descobertos até agora ,https://brasil.elpais.com/brasil/2017/06/28/ciencia/1498652564_912843.html
132,O que está acontecendo com as abelhas? ,https://brasil.elpais.com/brasil/2017/06/26/ciencia/1498485505_330805.html
133,Os canhotos têm mais talento que os outros? ,https://brasil.elpais.com/brasil/2017/06/27/ciencia/1498555216_069894.html
134,Colocá-lo na geladeira: erros garrafais que cometemos com o pão ,https://brasil.elpais.com/brasil/2017/06/16/ciencia/1497611083_377014.html
135,"“Os gorilas, assim como nós, precisam se divertir” ",https://brasil.elpais.com/brasil/2017/06/24/ciencia/1498299014_966631.html
136,"Ariana, 15 anos: “Apanhei enquanto gritavam ‘vem, traveco, que vou te matar!’” ",https://brasil.elpais.com/brasil/2017/06/23/ciencia/1498213050_810838.html
137,“O acesso à edição genética poderia criar uma classe social superior” ,https://brasil.elpais.com/brasil/2017/06/21/ciencia/1498043819_239938.html
138,Primeiro dia do inverno: a noite mais longa do ano ,https://brasil.elpais.com/brasil/2017/06/21/ciencia/1497998710_214615.html
139,Um terço da humanidade enfrenta ondas de calor mortais ,https://brasil.elpais.com/brasil/2017/06/20/ciencia/1497948259_516390.html
140,A mais exaustiva biografia dos gatos já feita pela ciência ,https://brasil.elpais.com/brasil/2017/06/19/ciencia/1497880506_898170.html
