,Título da Notícia,Tema,URL
1710,"
Mais Médicos atende uma pessoa a cada 9 segundos, diz informação errada
",politica,www.boatos.org/politica/programa-mais-medicos-atende-uma-pessoa-a-cada-9-segundos-diz-informacao-errada.html
1711,"
Água com anestésico veterinário é vendida por bandidos, diz hoax
",brasil,www.boatos.org/brasil/agua-com-anestesico-veterinario-e-vendida-por-bandidos-diz-hoax.html
1712,"
Evo Morales vai invadir o Brasil? Entenda o caso
",brasil,www.boatos.org/brasil/evo-morales-vai-invadir-o-brasil-entenda-o-caso.html
1713,"
Exército da Venezuela invadiu Roraima, diz notícia falsa
",brasil,www.boatos.org/brasil/exercito-da-venezuela-invadiu-roraima-diz-noticia-falsa.html
1714,"
Dilma contrata palhaço por R$333 mil para criticar oposição, diz balela
",politica,www.boatos.org/politica/dilma-contrata-palhaco-por-r333-mil-para-criticar-oposicao-diz-balela.html
1715,"
1000 boatos desmentidos, muito obrigado!
",opiniao,www.boatos.org/opiniao/1000-boatos-desmentidos-muito-obrigado.html
1716,"
Filho de Edir Macedo é gay, diz notícia falsa
",religiao,www.boatos.org/religiao/filho-de-edir-macedo-e-gay-diz-noticia-falsa.html
1717,"
Hoax: beber água em garrafa plástica faz mal e dá câncer
",saude,www.boatos.org/saude/hoax-beber-agua-em-garrafa-plastica-faz-mal-e-da-cancer.html
1718,"
O mau jornalismo e o boato de que Gisele Bündchen foi traída
",entretenimento,www.boatos.org/entretenimento/o-mau-jornalismo-e-o-boato-de-que-gisele-bundchen-foi-traida.html
1719,"
Foto de FHC, Fidel e Chávez é montagem, diz informação errada
",politica,www.boatos.org/politica/foto-de-fhc-fidel-e-chavez-e-montagem-diz-informacao-errada.html
1720,"
Mulher dorme com celular embaixo do travesseiro e morre, diz alerta falso
",tecnologia,www.boatos.org/tecnologia/mulher-dorme-com-celular-embaixo-do-travesseiro-e-morre-diz-alerta-falso.html
1721,"
Ladrões se disfarçam de vendedores de colchões #boato
",brasil,www.boatos.org/brasil/balela-ladroes-se-disfarcam-de-vendedores-de-colchoes.html
1722,"
7 boatos que circulam sobre Lula na internet
",politica,www.boatos.org/politica/7-boatos-que-circulam-sobre-lula-na-internet.html
1723,"
Balela: Regina Casé doa brinquedos para crianças, depois pega de volta
",entretenimento,www.boatos.org/entretenimento/balela-regina-case-doa-brinquedos-para-criancas-depois-pega-de-volta.html
1724,"
Montagem: criatura aparece nas nuvens entre a divisa de Goiás e Mato Grosso
",religiao,www.boatos.org/religiao/criatura-aparece-nas-nuvens-entre-a-divisa-de-goias-e-mato-grosso.html
1725,"
Vídeo íntimo que circula na web não é de Monica Iozzi
",entretenimento,www.boatos.org/entretenimento/video-intimo-que-circula-na-web-nao-e-de-monica-iozzi.html
1726,"
Balela: CPF na nota é golpe do governo. Diga não!
",brasil,www.boatos.org/brasil/balela-cpf-na-nota-e-golpe-do-governo-diga-nao.html
1727,"
Carta-renúncia de Dilma está pronta, diz boato
",politica,www.boatos.org/politica/carta-renuncia-de-dilma-esta-pronta-diz-boato.html
1728,"
7 boatos sobre Dilma Rousseff que circularam na web em 2015
",politica,www.boatos.org/politica/7-boatos-sobre-dilma-rousseff-que-circularam-na-web-em-2015.html
1729,"
Foto mostra Lobisomem em várias cidades do Brasil
",brasil,www.boatos.org/brasil/noticia-diz-que-lobisomem-foi-visto-em-ruas-de-diversas-cidades-do-brasil.html
1730,"
Ministro da Justiça defende internet gratuita em presídios, diz boato
",politica,www.boatos.org/politica/ministro-da-justica-defende-internet-gratuita-em-presidios-diz-boato.html
1731,"
Mentira: Mc Melody briga com a atriz e cantora Maísa Silva
",entretenimento,www.boatos.org/entretenimento/perfil-fake-de-mc-melody-causa-polemica-com-a-atriz-e-cantora-maisa-silva.html
1732,"
Informação errada: Crás vai doar 500 cadeiras de rodas
",brasil,www.boatos.org/brasil/informacao-errada-cras-vai-doar-500-cadeiras-de-rodas.html
1733,"
Especial: 7 boatos sobre Jean Wyllys que circulam na internet
",politica,www.boatos.org/politica/especial-7-boatos-sobre-jean-wyllys-que-circulam-na-internet.html
1734,"
Informação errada: cúrcuma pode substituir o creme dental
",saude,www.boatos.org/saude/bela-gil-afirma-que-curcuma-pode-substituir-a-pasta-dental.html
1735,"
Unicef Brasil comprou um Range Rover Evoque, diz hoax
",brasil,www.boatos.org/brasil/unicef-brasil-comprou-um-range-rover-evoque-diz-hoax.html
1736,"
Informação falsa: tubarão que atacou Fanning era criado em cativeiro
",mundo,www.boatos.org/mundo/informacao-falsa-tubarao-que-atacou-fanning-era-criado-em-cativeiro.html
1737,"
Foto da Nasa mostra esqueleto em Marte, diz boato
",ciencia,www.boatos.org/ciencia/foto-da-nasa-mostra-esqueleto-em-marte-diz-boato.html
1738,"
“Tapacurá estourou”: boato que provocou caos no Recife completa 40 anos
",brasil,www.boatos.org/brasil/tapacura-estourou-boato-que-provocou-caos-no-recife-completa-40-anos.html
1739,"
Atores da Globo fazem abaixo assinado de protesto, diz boato
",entretenimento,www.boatos.org/entretenimento/atores-da-globo-fazem-abaixo-assinado-de-protesto-diz-boato.html
1740,"
Arena Corinthians vai se chamar Arena Caixa, diz boato
",esporte,www.boatos.org/esporte/arena-corinthians-vai-se-chamar-arena-caixa-diz-boato.html
